Name,Designation,Salary,DOB
Elliot,Business Systems Development Analyst,6085.41,12/02/03
Tuesday,Human Resources Manager,7768.38,08/09/08
Arvy,Help Desk Operator,4132.01,2/19/2006
Wyn,Executive Secretary,2968.66,10/10/08
Galen,Web Developer I,3569.77,8/23/2004
Cristionna,Software Engineer IV,6412.51,5/13/2007
Bernhard,Speech Pathologist,9196.42,08/09/04
Jefferson,Analog Circuit Design manager,6014,1/19/2004
Gilberta,Nurse Practicioner,3734.16,7/26/2004
Annmarie,Internal Auditor,5317.13,2/25/2004
Rahal,Quality Engineer,1243.08,11/08/07
Aridatha,Chemical Engineer,5563.77,08/07/05
Derrek,Technical Writer,2198.51,7/24/2000
Norman,Junior Executive,4823.58,02/04/02
Trude,Senior Editor,8127.74,10/05/00
John,Research Nurse,9285.24,10/31/2009
Jamie,Accountant I,6880.76,4/15/2002
Arlinda,Technical Writer,8966.3,06/04/01
Matty,Senior Developer,3933.88,7/24/2009
Cynde,Operator,6437.05,03/04/06
Alvinia,Help Desk Technician,4775.11,10/28/2002
Georg,Engineer II,3943.77,08/03/09
Joshuah,Human Resources Manager,1679.28,4/22/2005
Fay,Actuary,1816.18,03/05/07
Jenna,Physical Therapy Assistant,2625.71,11/17/2006
Berkie,VP Accounting,9546.54,4/23/2007
Reggi,Programmer Analyst I,3913.04,8/26/2007
Haleigh,Executive Secretary,4950.96,11/05/07
Kaleena,Recruiting Manager,6575.83,10/22/2006
Lina,Social Worker,1832.3,12/30/2002
Roland,Assistant Media Planner,8790.87,11/16/2007
Roz,Operator,5607.33,04/02/06
Lia,Chief Design Engineer,8185.04,04/04/07
Colleen,Editor,1885.77,9/14/2000
Pauline,Administrative Assistant IV,3527.14,5/31/2008
Antony,Marketing Assistant,5938.5,12/14/2009
Anthe,Environmental Tech,7990.8,10/21/2005
Killy,Help Desk Technician,3141.8,3/17/2003
Netty,Pharmacist,6100.52,7/31/2002
Derk,Chief Design Engineer,9567.12,3/22/2007
Wes,Speech Pathologist,1456.95,12/29/2001
Haleigh,Administrative Officer,9035.55,4/21/2002
Bartolemo,Biostatistician III,7093.72,6/19/2001
Rodrique,Structural Engineer,7937.97,6/17/2007
Hedwig,Assistant Professor,2195.51,06/05/03
Igor,Environmental Specialist,1600.71,4/18/2001
Cheslie,Mechanical Systems Engineer,2421.21,06/06/00
Kelly,GIS Technical Architect,8633.36,12/10/09
Adelina,Senior Financial Analyst,9402.44,6/19/2004
Wendy,Senior Cost Accountant,2066.73,09/09/04
Adaline,Environmental Specialist,4268.08,10/02/02
Manda,Research Nurse,7129.37,1/21/2001
Knox,Nurse,5856.33,3/19/2010
Hali,Recruiting Manager,3374.97,4/26/2005
Lyell,VP Product Management,5219.46,4/20/2005
Kelcey,Programmer I,5365.55,10/06/01
Wilburt,Community Outreach Specialist,9250.35,4/29/2000
Henri,Help Desk Technician,2078.05,04/04/01
Jared,Senior Cost Accountant,7148.77,12/02/07
Butch,Desktop Support Technician,7700.73,12/04/05
Brendin,Senior Financial Analyst,1226.31,3/17/2002
Tedda,Environmental Specialist,8206.19,10/30/2009
Risa,Compensation Analyst,1662.07,6/14/2007
Vivia,Statistician I,8152.63,09/08/08
Rozalie,Environmental Tech,7184.58,3/14/2005
Ulrich,Food Chemist,9691.49,04/11/02
Darell,Quality Control Specialist,1557.55,6/14/2003
Dolley,VP Quality Control,5020.53,04/06/01
Cullie,Recruiting Manager,5620.42,11/03/08
Lillian,Mechanical Systems Engineer,9636.01,10/13/2001
Berna,Dental Hygienist,1194.07,01/09/10
Goldarina,Environmental Specialist,4365.66,9/30/2007
Tuck,Graphic Designer,9121.75,8/20/2000
Petra,Account Executive,3712.24,6/30/2005
Prissie,Structural Analysis Engineer,5476.88,11/02/05
Yevette,Analyst Programmer,3246.09,02/11/01
Pincus,Chief Design Engineer,4264.31,8/13/2008
Regan,Software Test Engineer III,2402.82,7/21/2005
Avie,Design Engineer,4584.14,02/03/06
Frederigo,Staff Accountant IV,7244.3,04/07/06
Ely,Operator,3115.83,06/09/09
Colette,Civil Engineer,3726.56,6/13/2005
Bil,Senior Developer,4881.33,11/07/04
Sharron,Analyst Programmer,5535.72,11/22/2000
Vinita,Nuclear Power Engineer,1496.28,10/25/2002
Gilberto,Nurse Practicioner,9939.97,10/15/2005
Anna,Account Representative III,6860.53,10/01/01
Natalee,Safety Technician IV,7505.97,01/05/08
Fred,Design Engineer,8520.21,11/13/2009
Gwyn,Sales Associate,5705.68,1/29/2007
Vaughan,Director of Sales,7576.65,06/05/07
Kris,Account Executive,1104.58,11/04/06
Lowrance,Help Desk Operator,4723.99,1/21/2009
Fulton,Clinical Specialist,9617.85,05/08/02
Laura,Teacher,3697.01,9/14/2000
Marys,Data Coordinator,4417.08,11/15/2001
Giusto,Quality Control Specialist,4215.58,4/24/2002
Biron,Internal Auditor,5512.75,4/29/2002
Leshia,Senior Quality Engineer,5406.6,10/24/2009
